spam/ham,message
0,میں نے پہلے ہی اندر وہ تک پہنچنے میں جب مجھے دیر این وی تھا کیونکہ ... لیکن ہم spageddies ہے Lor ... مجھ پر ہںس ہے Lor ر جو اس کا ای gals کے کھا لیا Dunno کی ...
0,میں اور چوتھی جہت سے باہر تمام گزشتہ رات کے phasing گزارے جو اندازہ
0,وہ کام سے باہر ہو جاتا ہے اور ان تمام پاگل سوالات پوچھنے کے بعد تو اب میرے والد صاحب کی کال والا ہے.
0,Yes..but وہ اس کے اس نے کہا.،
0,بہت کبھی ن بامعنی لائنوں نقصان پہنچا رہا: \ میں نے اپنی محبت کے لئے سب کچھ سمجھوتہ
0,LMAO! اچھی 1
0,آپ کے جواب کو دیکھ کر خوشی ہوئی.
1,فوری! ہم کرنے کے لئے رابطہ U. آج پتہ چلتا ہے کہ آپ کو ایک Ã ¥ Â £ 800 انعام ضمانت حاصل کر چکے ہیں کو اپنی طرف متوجہ کر رہے ہیں. لینڈ لائن سے 09050001295 پر کال کریں. A21 دعوی کریں. درست 12hrs صرف
1,WAP لئے ماہانہ پاس ورڈ. mobsi.com آپ WAP فون 391784. استعمال PC نہیں ہے.
0,Nah میں ڈب لیکن JE اب بھی چمڑا
0,دردناک الفاظ \ مجھے خوش ہونے سوچا زمین پر سب سے مشکل چیز تھی ... لیکن
0,جی ہاں، یہ ٹھیک ہے! یہ ایک ¥ Â £ 6 میں حاصل کرنے کے لئے، یہ ٹھیک ہے؟
0,LOL جہاں یو ان خیالات کے ساتھ آنے لگتا ہے؟
0,بہت سے لوگ پہلی نظر میں خاص ہو گیا ہے، لیکن صرف بہت کم آپ کی آخری نظر تک آپ کے لئے خاص رہے گا .. زندگی ختم ہو جاتا ہے جب تک ان کو برقرار رکھنے ... شیخ! JAS
0,"آج \ نغمہ وقف دن ہے .. \ ""کون سا گانا یو میرے لئے وقف کرے گا؟ تمام الرحمن قیمتی frnds اس بھیجیں لیکن پہلے rply مجھے ..."""
0,ٹھیک ہے ... ہم آہ انتظار
0,Y لئی؟
0,HI بیب یو آر ظن غالب لیکن IM بہت افسوس کے بارے میں آج رات بستر میں ہونا! مجھے واقعی چاہتے دیکھتے U کل SO CALL میری طرف 9. محبت مجھے XXX
0,پہلے سے بیٹھنے چلنے کا نیا طریقہ ہے ہوں
0,آپ کو جرات مندانہ 2 یا بی بی مشعل چاہتے ہیں
0,درد روک دیا. سونے کے لئے واپس جا رہے ہیں
1,0089 (میری آخری چار ہندسے) کے ساتھ ختم ہونے والے آج ووڈافون نمبرز ایک ¥ Â £ 350 ایوارڈ وصول کرنے کے لئے منتخب کر رہے ہیں. آپ کا نمبر میچوں اپنے a ¥ Â £ 350 ایوارڈ کا دعوی کرنے 09063442151 پر کال کریں تو
1,81618-؟ 3 فی ہفتہ سٹاپ SMS-08718727870 کو ہفتہ وار رنگ ٹون حاصل 1st ہفتے آزادانہ بھیجیں SUBPOLY کو مفت Top رنگ ٹون -sub
0,نےن sonathaya soladha. کیوں باس؟
0,جیسے CD لاو بھول ڈان
1,سنشائن کوئز Wkly Q! ایک سب سے اوپر سونی ڈی وی ڈی پلیئر جیتنے یو جانتے ہیں جس سے ملک آلگاروو میں ہے تو کیا ہوگا؟ £ 82277. Ã ¥ A کرنے 1.50 SP TXT ansr: سے Tyrone
0,میں نہیں جانتا لیکن میں پوکر میں دوستوں کی زیادتی کر رہا ہوں
0,وزن میں کمی! مزید کوئی لڑکی دوست. ای بے یا کسی چیز پر پیسے کے بوجھ بنائیں. اور خدا کا شکر ادا کرو.
0,اس پیغام کو دیکھنے کے لئے GR8 تھا. تو جب یو چھوڑ کر ر؟ مبارک ہو پیاری. کیا اسکول اور Wat الرحمن منصوبوں کا ر.
0,ایک بعد میں EATIN لیکن میں اب لئی میری frens WIF EATIN رہا ہوں ... ایک ایک پہلا گھر جا رہا؟
0,پہلے سے ہی ختم ... یار وہ میں ... میں اتنا شرمندہ ٹھیک mushy ہے کہہ رکھنے ...
0,معذرت آدمی میرے ڈھائی خشک گزشتہ رات بھاگ گیا اور میں اتوار تک زیادہ نہیں اٹھا سکتا ہے
0,ہائی پریا تم صحیح ہو. کیا ڈاکٹر PA کہا. تم کہاں ہو.
1,مفت Msg. معذرت، ایک سروس آپ کو 81303 سے حکم دیا آپ کو کافی کریڈٹ نہیں ہے کے طور پر ڈیلیور نہیں کیا جا سکا. سروس حاصل کرنے کے لئے اوپر کریں.
0,ٹھیک ہے...
0,والد کو فون کرنے کی ممی براہ کرم دریافت کریں
0,میرے کمرے آ سکتی ہے لیکن اب بھی گندا میرے گھر میرے گھر ک آ سکتے ہیں ... ہا ہا ...
0,میں نے آج کے طور پر 10 کلو کھو دیا ہے!
0,بس ذائقہ مچھلی سالن :-P
0,میں کیا کر سکتا ہوں؟ کہیں ghodbandar RD درمیان tookplace accidant سکتا ہے. ٹریفک slovely چلتا ہے. براہ مہربانی پرچی اور AMP تو؛ فکر نہ کرو.
0,یون Ã ah.now _ wkg کہاں؟ BTW تو ایک _ NUS SC جاؤ. ایک گچرچھا میں مہارت وانا؟
